ch.qos.logback/logback-core,ch.qos.logback/logback-core/1.1.2
javax.mail/mail,javax.mail/mail/1.4
javax.servlet/servlet-api,javax.servlet/servlet-api/2.5
org.apache.geronimo.specs/geronimo-jms_1.1_spec,org.apache.geronimo.specs/geronimo-jms_1.1_spec/1.0
org.codehaus.groovy/groovy-all,org.codehaus.groovy/groovy-all/2.0.7
org.codehaus.janino/janino,org.codehaus.janino/janino/2.6.1
org.slf4j/slf4j-api,org.slf4j/slf4j-api/1.7.6
com.h2database/h2,com.h2database/h2/1.2.132
com.icegreen/greenmail,com.icegreen/greenmail/1.3
dom4j/dom4j,dom4j/dom4j/1.6.1
hsqldb/hsqldb,hsqldb/hsqldb/1.8.0.7
mysql/mysql-connector-java,mysql/mysql-connector-java/5.1.9
org.apache.felix/org.apache.felix.main,org.apache.felix/org.apache.felix.main/2.0.2
org.slf4j/slf4j-ext,org.slf4j/slf4j-ext/1.7.6
org.slf4j/log4j-over-slf4j,org.slf4j/log4j-over-slf4j/1.7.6
org.slf4j/jul-to-slf4j,org.slf4j/jul-to-slf4j/1.7.6
org.slf4j/integration,org.slf4j/integration/1.7.6
org.subethamail/subethasmtp,org.subethamail/subethasmtp/2.1.0
postgresql/postgresql,postgresql/postgresql/8.4-701.jdbc4
