com.axellience/vue-gwt,com.axellience/vue-gwt/1.0-beta-9
com.github.javaparser/javaparser-core,com.github.javaparser/javaparser-core/3.0.1
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc4
com.helger/ph-css,com.helger/ph-css/6.1.1
com.squareup/javapoet,com.squareup/javapoet/1.9.0
io.bit3/jsass,io.bit3/jsass/5.7.3
net.htmlparser.jericho/jericho-html,net.htmlparser.jericho/jericho-html/3.4
com.google.testing.compile/compile-testing,com.google.testing.compile/compile-testing/0.15
org.junit.jupiter/junit-jupiter-api,org.junit.jupiter/junit-jupiter-api/5.1.0
org.junit.platform/junit-platform-commons,org.junit.platform/junit-platform-commons/1.1.0
org.opentest4j/opentest4j,org.opentest4j/opentest4j/1.0.0
