io.micrometer/micrometer-core,io.micrometer/micrometer-core/1.0.0
org.javassist/javassist,org.javassist/javassist/3.24.1-GA
org.slf4j/slf4j-api,org.slf4j/slf4j-api/1.7.25
io.dropwizard.metrics/metrics-core,io.dropwizard.metrics/metrics-core/3.2.4
io.dropwizard.metrics/metrics-healthchecks,io.dropwizard.metrics/metrics-healthchecks/3.2.4
io.prometheus/simpleclient,io.prometheus/simpleclient/0.0.26
org.hibernate/hibernate-core,org.hibernate/hibernate-core/5.2.10.Final
com.h2database/h2,com.h2database/h2/1.4.196
javax.inject/javax.inject,javax.inject/javax.inject/1
junit/junit,junit/junit/4.12
org.apache.commons/commons-csv,org.apache.commons/commons-csv/1.5
org.apache.felix/org.apache.felix.framework,org.apache.felix/org.apache.felix.framework/6.0.1
org.apache.logging.log4j/log4j-slf4j-impl,org.apache.logging.log4j/log4j-slf4j-impl/2.11.1
org.apache.logging.log4j/log4j-api,org.apache.logging.log4j/log4j-api/2.11.1
org.apache.logging.log4j/log4j-core,org.apache.logging.log4j/log4j-core/2.11.1
org.mockito/mockito-core,org.mockito/mockito-core/2.23.4
org.ops4j.pax.exam/pax-exam-container-native,org.ops4j.pax.exam/pax-exam-container-native/4.13.1
org.ops4j.pax.exam/pax-exam-junit4,org.ops4j.pax.exam/pax-exam-junit4/4.13.1
org.ops4j.pax.exam/pax-exam-link-assembly,org.ops4j.pax.exam/pax-exam-link-assembly/4.13.1
org.ops4j.pax.exam/pax-exam-link-mvn,org.ops4j.pax.exam/pax-exam-link-mvn/4.13.1
org.ops4j.pax.url/pax-url-aether,org.ops4j.pax.url/pax-url-aether/2.5.4
org.ops4j.pax.url/pax-url-reference,org.ops4j.pax.url/pax-url-reference/2.5.4
org.postgresql/postgresql,org.postgresql/postgresql/42.1.4
simple-jndi/simple-jndi,simple-jndi/simple-jndi/0.11.4.1
