com.beust/jcommander,com.beust/jcommander/1.48
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
com.google.guava/guava,com.google.guava/guava/14.0.1
commons-codec/commons-codec,commons-codec/commons-codec/1.4
commons-collections/commons-collections,commons-collections/commons-collections/3.2.2
commons-io/commons-io,commons-io/commons-io/2.4
commons-lang/commons-lang,commons-lang/commons-lang/2.4
log4j/log4j,log4j/log4j/1.2.17
org.apache.accumulo/accumulo-core,org.apache.accumulo/accumulo-core/1.9.3
org.apache.accumulo/accumulo-fate,org.apache.accumulo/accumulo-fate/1.9.3
org.apache.accumulo/accumulo-server-base,org.apache.accumulo/accumulo-server-base/1.9.3
org.apache.accumulo/accumulo-start,org.apache.accumulo/accumulo-start/1.9.3
org.apache.htrace/htrace-core,org.apache.htrace/htrace-core/3.1.0-incubating
org.apache.thrift/libthrift,org.apache.thrift/libthrift/0.9.3-1
org.apache.zookeeper/zookeeper,org.apache.zookeeper/zookeeper/3.4.6
org.slf4j/slf4j-api,org.slf4j/slf4j-api/1.7.25
org.slf4j/slf4j-log4j12,org.slf4j/slf4j-log4j12/1.7.25
junit/junit,junit/junit/4.12
org.easymock/easymock,org.easymock/easymock/3.6
org.powermock/powermock-api-easymock,org.powermock/powermock-api-easymock/1.7.4
org.powermock/powermock-core,org.powermock/powermock-core/1.7.4
org.powermock/powermock-module-junit4,org.powermock/powermock-module-junit4/1.7.4
