org.apache.jclouds/jclouds-core,org.apache.jclouds/jclouds-core/2.1.2
org.apache.jclouds/jclouds-compute,org.apache.jclouds/jclouds-compute/2.1.2
org.apache.jclouds.driver/jclouds-okhttp,org.apache.jclouds.driver/jclouds-okhttp/2.1.2
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
com.google.auto.value/auto-value,com.google.auto.value/auto-value/1.4.1
ch.qos.logback/logback-core,ch.qos.logback/logback-core/1.1.2
ch.qos.logback/logback-classic,ch.qos.logback/logback-classic/1.1.2
com.squareup.okhttp/mockwebserver,com.squareup.okhttp/mockwebserver/2.2.0
org.apache.jclouds.driver/jclouds-sshj,org.apache.jclouds.driver/jclouds-sshj/2.1.2
org.apache.jclouds.driver/jclouds-slf4j,org.apache.jclouds.driver/jclouds-slf4j/2.1.2
org.apache.jclouds.driver/jclouds-log4j,org.apache.jclouds.driver/jclouds-log4j/2.1.2
