com.squareup/javapoet,com.squareup/javapoet/1.9.0
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
commons-io/commons-io,commons-io/commons-io/2.5
org.dominokit.domino.test/apt-test,org.dominokit.domino.test/apt-test/1.0-rc.3-3
ant/ant,ant/ant/1.6.5
colt/colt,colt/colt/1.2.0
com.google.code.findbugs/jsr305,com.google.code.findbugs/jsr305/1.3.9
com.google.code.gson/gson,com.google.code.gson/gson/2.6.2
com.google.elemental2/elemental2-core,com.google.elemental2/elemental2-core/1.0.0-RC1
com.google.elemental2/elemental2-dom,com.google.elemental2/elemental2-dom/1.0.0-RC1
com.google.gwt/gwt,com.google.gwt/gwt/2.8.2
com.google.gwt/gwt-user,com.google.gwt/gwt-user/2.8.2
com.google.gwt/gwt-dev,com.google.gwt/gwt-dev/2.8.2
com.google.gwt/gwt-codeserver,com.google.gwt/gwt-codeserver/2.8.2
com.google.gwt/gwt-servlet,com.google.gwt/gwt-servlet/2.8.2
com.google.gwt/gwt-elemental,com.google.gwt/gwt-elemental/2.8.2
com.google.jsinterop/jsinterop,com.google.jsinterop/jsinterop/1.0.2
com.google.web.bindery/requestfactory,com.google.web.bindery/requestfactory/2.8.2
com.ibm.icu/icu4j,com.ibm.icu/icu4j/50.1.1
commons-collections/commons-collections,commons-collections/commons-collections/3.2.2
commons-io/commons-io,commons-io/commons-io/2.4
io.vertx/vertx-web,io.vertx/vertx-web/3.6.2
io.vertx/vertx-unit,io.vertx/vertx-unit/3.6.2
io.vertx/vertx-config,io.vertx/vertx-config/3.6.2
io.vertx/vertx-service-discovery,io.vertx/vertx-service-discovery/3.6.2
io.vertx/vertx-web-client,io.vertx/vertx-web-client/3.6.2
io.vertx/vertx-service-proxy,io.vertx/vertx-service-proxy/3.6.2
io.vertx/vertx-codegen,io.vertx/vertx-codegen/3.6.2
io.vertx/vertx-jdbc-client,io.vertx/vertx-jdbc-client/3.6.2
io.vertx/vertx-redis-client,io.vertx/vertx-redis-client/3.6.2
io.vertx/vertx-mongo-client,io.vertx/vertx-mongo-client/3.6.2
javax.servlet/javax.servlet-api,javax.servlet/javax.servlet-api/3.1.0
javax.validation/validation-api,javax.validation/validation-api/1.1.0.Final
javax.validation/validation-api,javax.validation/validation-api/1.0.0.GA
net.sourceforge.htmlunit/htmlunit,net.sourceforge.htmlunit/htmlunit/2.19
org.apache.logging.log4j/log4j-api,org.apache.logging.log4j/log4j-api/2.8.2
org.apache.logging.log4j/log4j-core,org.apache.logging.log4j/log4j-core/2.8.2
org.dominokit.domino/domino-client-commons,org.dominokit.domino/domino-client-commons/1.0-rc.3-3
org.dominokit.domino,org.dominokit.domino
org.dominokit.domino/domino-desktop,org.dominokit.domino/domino-desktop/1.0-rc.3-3
org.dominokit.domino.api/domino-api-client,org.dominokit.domino.api/domino-api-client/1.0-rc.3-3
org.dominokit.domino.api/domino-api-server,org.dominokit.domino.api/domino-api-server/1.0-rc.3-3
org.dominokit.domino.api/domino-api-shared,org.dominokit.domino.api/domino-api-shared/1.0-rc.3-3
org.dominokit.domino.apt/apt-client,org.dominokit.domino.apt/apt-client/1.0-rc.3-3
org.dominokit.domino.apt/apt-server,org.dominokit.domino.apt/apt-server/1.0-rc.3-3
org.dominokit.domino.impl/domino-gwt,org.dominokit.domino.impl/domino-gwt/1.0-rc.3-3
org.dominokit.domino.logging/domino-gwt-logger,org.dominokit.domino.logging/domino-gwt-logger/1.0-rc.3-3
org.dominokit.domino.logging/domino-log4j-server-logging,org.dominokit.domino.logging/domino-log4j-server-logging/1.0-rc.3-3
org.dominokit.domino.test/domino-client-test,org.dominokit.domino.test/domino-client-test/1.0-rc.3-3
org.dominokit.domino.test/domino-server-test,org.dominokit.domino.test/domino-server-test/1.0-rc.3-3
org.eclipse.jetty/jetty-webapp,org.eclipse.jetty/jetty-webapp/9.2.14.v20151106
org.eclipse.jetty/jetty-servlets,org.eclipse.jetty/jetty-servlets/9.2.14.v20151106
org.eclipse.jetty/jetty-annotations,org.eclipse.jetty/jetty-annotations/9.2.14.v20151106
org.eclipse.jetty/apache-jsp,org.eclipse.jetty/apache-jsp/9.2.14.v20151106
org.eclipse.jetty/jetty-continuation,org.eclipse.jetty/jetty-continuation/9.2.14.v20151106
org.eclipse.jetty/jetty-http,org.eclipse.jetty/jetty-http/9.2.14.v20151106
org.eclipse.jetty/jetty-io,org.eclipse.jetty/jetty-io/9.2.14.v20151106
org.eclipse.jetty/jetty-jndi,org.eclipse.jetty/jetty-jndi/9.2.14.v20151106
org.eclipse.jetty/jetty-plus,org.eclipse.jetty/jetty-plus/9.2.14.v20151106
org.eclipse.jetty/jetty-util,org.eclipse.jetty/jetty-util/9.2.14.v20151106
org.eclipse.jetty/jetty-security,org.eclipse.jetty/jetty-security/9.2.14.v20151106
org.eclipse.jetty/jetty-server,org.eclipse.jetty/jetty-server/9.2.14.v20151106
org.eclipse.jetty/jetty-servlet,org.eclipse.jetty/jetty-servlet/9.2.14.v20151106
org.eclipse.jetty/jetty-xml,org.eclipse.jetty/jetty-xml/9.2.14.v20151106
org.eclipse.jetty.websocket/websocket-api,org.eclipse.jetty.websocket/websocket-api/9.2.14.v20151106
org.eclipse.jetty.websocket/websocket-common,org.eclipse.jetty.websocket/websocket-common/9.2.14.v20151106
org.ow2.asm/asm-parent,org.ow2.asm/asm-parent/5.0.3
org.w3c.css/sac,org.w3c.css/sac/1.3
tapestry/tapestry,tapestry/tapestry/4.0.2
