com.google.auto/auto-common,com.google.auto/auto-common/0.8
com.google.auto.service/auto-service,com.google.auto.service/auto-service/1.0-rc3
com.google.elemental2/elemental2-core,com.google.elemental2/elemental2-core/1.0.0-beta-1
com.google.elemental2/elemental2-dom,com.google.elemental2/elemental2-dom/1.0.0-beta-1
com.google.elemental2/elemental2-promise,com.google.elemental2/elemental2-promise/1.0.0-beta-1
com.google.guava/guava,com.google.guava/guava/21.0
com.google.gwt/gwt-user,com.google.gwt/gwt-user/2.8.1
com.google.jsinterop/base,com.google.jsinterop/base/1.0.0-beta-1
com.google.jsinterop/jsinterop-annotations,com.google.jsinterop/jsinterop-annotations/1.0.1
com.squareup/javapoet,com.squareup/javapoet/1.7.0
org.realityforge.arez/arez-browser-extras,org.realityforge.arez/arez-browser-extras/0.04
org.realityforge.arez/arez-annotations,org.realityforge.arez/arez-annotations/0.04
org.realityforge.arez/arez-core,org.realityforge.arez/arez-core/0.04
org.realityforge.arez/arez-extras,org.realityforge.arez/arez-extras/0.04
org.realityforge.arez/arez-processor,org.realityforge.arez/arez-processor/0.04
org.realityforge.braincheck/braincheck,org.realityforge.braincheck/braincheck/1.0.0
com.google.code.findbugs/jsr305,com.google.code.findbugs/jsr305/3.0.1
org.jetbrains/annotations,org.jetbrains/annotations/15.0
com.beust/jcommander,com.beust/jcommander/1.27
org.hamcrest/hamcrest-core,org.hamcrest/hamcrest-core/1.1
org.hamcrest/hamcrest-library,org.hamcrest/hamcrest-library/1.1
org.jmock/jmock,org.jmock/jmock/2.5.1
org.jmock/jmock-junit4,org.jmock/jmock-junit4/2.5.1
org.realityforge.guiceyloops/guiceyloops,org.realityforge.guiceyloops/guiceyloops/0.92
org.testng/testng,org.testng/testng/6.11
