org.springframework/spring-context,org.springframework/spring-context/4.3.22.RELEASE
org.springframework/spring-core,org.springframework/spring-core/4.3.22.RELEASE
junit/junit,junit/junit/4.12
log4j/log4j,log4j/log4j/1.2.17
org.aspectj/aspectjweaver,org.aspectj/aspectjweaver/1.8.9
org.easymock/easymock,org.easymock/easymock/2.3
org.mockito/mockito-core,org.mockito/mockito-core/1.10.19
org.springframework/spring-test,org.springframework/spring-test/4.3.22.RELEASE
org.springframework/spring-tx,org.springframework/spring-tx/4.3.22.RELEASE
org.springframework/spring-framework-bom,org.springframework/spring-framework-bom/4.3.22.RELEASE
